delivery_id,source_lat,source_lng,dest_lat,dest_lng,distance_km,vehicle_type,driver_id,package_weight_kg,order_time,scheduled_delivery_time,actual_delivery_time,traffic_level,weather_condition,road_type,delayed
3158819,31.10598,121.52281,31.06614,121.52128,4.432401106431944,scooter,164,16.93601353147672,2024-06-04 11:05:00,2024-06-04 11:52:43.776265542,2024-06-04 17:40:00,Medium,foggy,Highway,1
751342,31.10599,121.52286,31.06687,121.52124,4.3526801202000405,ev van,164,27.970252970258695,2024-06-04 11:18:00,2024-06-04 12:05:24.643228848,2024-06-04 15:06:00,Medium,clear,Highway,1
3380476,31.10591,121.52285,31.06731,121.52106,4.29550749164687,truck,164,39.62956742033905,2024-06-03 10:13:00,2024-06-03 11:00:10.921797996,2024-06-03 15:11:00,High,foggy,Highway,1
2184571,31.10593,121.52282,31.06616,121.52128,4.424653135060401,bike,164,17.24881455060158,2024-06-04 10:39:00,2024-06-04 11:26:41.916752415,2024-06-04 15:41:00,High,hot,Highway,1
941371,31.10593,121.52285,31.06614,121.52123,4.427134725468477,ev bike,164,1.5009319261968277,2024-06-04 11:18:00,2024-06-04 12:05:42.512334111,2024-06-04 14:07:00,Medium,foggy,Highway,1
1278638,31.10596,121.52289,31.06616,121.52127,4.428245998204366,ev bike,164,46.77856906389135,2024-06-03 10:14:00,2024-06-03 11:01:42.779039568,2024-06-03 19:20:00,High,clear,Highway,1
261182,31.10591,121.5228,31.06611,121.52127,4.427955717851275,ev bike,164,41.87940500996271,2024-06-03 10:15:00,2024-06-03 11:02:42.709372285,2024-06-03 16:30:00,High,hot,Highway,1
3459225,31.10786,121.52295,31.06686,121.52124,4.561899085396375,ev van,420,23.892145353582073,2024-09-07 11:51:00,2024-09-07 12:39:14.855780494,2024-09-07 18:54:00,Medium,foggy,Highway,1
705091,31.10779,121.52296,31.06727,121.52069,4.51080069767299,bike,534,37.40842281652701,2024-10-11 18:01:00,2024-10-11 18:49:02.592167443,2024-10-11 18:46:00,Very High,cold,Highway,0
2545410,31.1078,121.52285,31.06726,121.52053,4.513252598591161,truck,540,19.838304137635188,2024-09-12 19:40:00,2024-09-12 20:28:03.180623662,2024-09-12 20:30:00,Low,stormy,Highway,1
3799613,31.106,121.52286,31.06515,121.52209,4.542904541787279,ev bike,2621,26.539229389002944,2024-08-14 17:56:00,2024-08-14 18:44:10.297090029,2024-08-14 18:36:00,Very High,stormy,Highway,0
3074816,31.10603,121.52278,31.06727,121.52062,4.314820731034087,ev van,2923,23.072672780152388,2024-08-06 10:26:00,2024-08-06 11:13:15.556975447,2024-08-06 11:55:00,High,clear,Highway,1
4245432,31.10788,121.52298,31.06705,121.52113,4.543505412437244,truck,4467,20.41941089818477,2024-09-11 09:45:00,2024-09-11 10:33:10.441298984,2024-09-11 15:42:00,High,rainy,Highway,1
486971,31.10601,121.52286,31.06625,121.52129,4.423637422036681,van,4467,30.308595281153252,2024-07-08 10:07:00,2024-07-08 10:54:41.672981288,2024-07-08 18:34:00,High,rainy,Highway,1
4336265,31.10593,121.5228,31.06741,121.52106,4.286432224952486,van,4467,7.785983263273437,2024-07-10 09:59:00,2024-07-10 10:46:08.743733988,2024-07-10 13:56:00,High,stormy,Highway,1
1229299,31.10595,121.52272,31.06618,121.52128,4.424347755977049,van,4467,21.53101743046136,2024-07-19 09:36:00,2024-07-19 10:23:41.843461434,2024-07-19 19:05:00,High,rainy,Highway,1
125049,31.10773,121.52288,31.06585,121.52123,4.659493442471481,van,4467,29.664547154291746,2024-09-02 13:31:00,2024-09-02 14:19:38.278426194,2024-09-02 18:56:00,Medium,clear,Highway,1
195419,31.10609,121.52283,31.06624,121.52117,4.4339365320533455,bike,4467,51.55694719628959,2024-07-15 14:53:00,2024-07-15 15:40:44.144767694,2024-07-15 19:04:00,Medium,rainy,Highway,1
691939,31.10594,121.52278,31.06596,121.52125,4.447960018698575,scooter,4467,8.369991942369264,2024-08-13 13:25:00,2024-08-13 14:12:47.510404486,2024-08-13 16:58:00,Medium,clear,Highway,1
1618925,31.10777,121.52291,31.0659,121.52136,4.658070659011367,van,4467,32.6255490498477,2024-09-27 14:26:00,2024-09-27 15:14:37.936958162,2024-09-27 19:11:00,Medium,clear,Highway,1
1319796,31.10778,121.52285,31.06717,121.52109,4.518735043279593,bike,4467,34.20029299585053,2024-09-26 09:27:00,2024-09-26 10:15:04.496410386,2024-09-26 17:26:00,High,foggy,Highway,1
1710115,31.10606,121.52279,31.06709,121.52111,4.336218427782719,ev bike,4467,1.8200413497291545,2024-08-21 10:07:00,2024-08-21 10:54:20.692422668,2024-08-21 13:31:00,High,stormy,Highway,1
179680,31.10607,121.52284,31.06622,121.5212,4.4338690427077605,van,4467,31.044693757611686,2024-07-02 10:08:00,2024-07-02 10:55:44.128570250,2024-07-02 19:20:00,High,clear,Highway,1
3656919,31.10591,121.52273,31.0659,121.52125,4.451140779032235,scooter,4467,37.794417226379245,2024-08-24 10:31:00,2024-08-24 11:18:48.273786967,2024-08-24 17:20:00,High,rainy,Highway,1
489050,31.10788,121.52288,31.0674,121.52113,4.504254338918328,scooter,4467,33.60404956241289,2024-09-18 09:04:00,2024-09-18 09:52:01.021041342,2024-09-18 18:22:00,High,foggy,Highway,1
2560349,31.10596,121.52276,31.06617,121.52129,4.426660005335282,truck,4467,23.939975159884746,2024-07-01 15:41:00,2024-07-01 16:28:42.398401279,2024-07-01 18:26:00,High,stormy,Highway,1
4063311,31.10785,121.52296,31.06546,121.52153,4.715519529038666,van,4467,29.934111376286143,2024-09-21 09:20:00,2024-09-21 10:08:51.724686970,2024-09-21 18:44:00,High,cold,Highway,1
2683724,31.10601,121.52288,31.06612,121.52121,4.438415527965989,bike,4467,27.58633881373819,2024-07-08 09:58:00,2024-07-08 10:45:45.219726711,2024-07-08 18:17:00,High,hot,Highway,1
4088793,31.10594,121.52283,31.06593,121.5213,4.45129407851821,bike,4467,0.8706544863950872,2024-08-22 09:52:00,2024-08-22 10:39:48.310578844,2024-08-22 12:18:00,High,foggy,Highway,1
4267798,31.10599,121.52283,31.06628,121.52127,4.418048733991001,ev bike,4467,27.923652193611513,2024-07-03 09:16:00,2024-07-03 10:03:40.331696157,2024-07-03 12:58:00,High,foggy,Highway,1
1548542,31.1078,121.52286,31.06582,121.52128,4.67038713439617,bike,4467,19.871586646459768,2024-09-12 09:22:00,2024-09-12 10:10:40.892912254,2024-09-12 16:56:00,High,clear,Highway,1
416124,31.106,121.52287,31.0655,121.52155,4.505148458040865,van,4467,15.018545363987064,2024-07-05 09:54:00,2024-07-05 10:42:01.235629929,2024-07-05 21:24:00,High,hot,Highway,1
1928513,31.10598,121.52285,31.0671,121.52104,4.3266931799571555,ev bike,4467,60.85159337890418,2024-07-09 13:09:00,2024-07-09 13:56:18.406363189,2024-07-09 18:10:00,Medium,cold,Highway,1
